year,period,sector,role_family,role,occupation_proxy,historical_role_status,ict_employment,ict_employment_share_pct,total_employment,labour_force_participation_rate_pct,employment_to_population_ratio_pct,unemployment_rate_pct,tertiary_employment_count,role_demand_index,role_share_within_ict_pct,role_employment_proxy,emergence_year,data_basis,synthetic_flag,target_role_demand_index_1y,target_role_demand_index_2y,target_role_demand_6m,note_6m,role_encoded,years_since_emergence,trend_position,share_lag1,share_change_1y,share_change_2y,share_accel,share_growth_rate,target_share_1y,sample_weight
2010,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,1.81,0.412,23.2,2016,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.59,1.46,,No sub-annual data available,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.023517745856009107
2011,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,historical proxy only,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,1.59,0.368,27.4,2016,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.46,1.38,,No sub-annual data available,0,0,0.0625,0.412,-0.043999999999999984,0.0,0.0,-0.11956521739130431,0.335,0.0301973834223185
2012,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,historical proxy only,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,1.46,0.335,32.2,2016,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.38,1.34,,No sub-annual data available,0,0,0.125,0.368,-0.032999999999999974,-0.07699999999999996,0.01100000000000001,-0.09850746268656708,0.314,0.03877420783172201
2013,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,historical proxy only,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,1.38,0.314,38.9,2016,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.34,1.3,,No sub-annual data available,0,0,0.1875,0.335,-0.02100000000000002,-0.05399999999999999,0.011999999999999955,-0.0668789808917198,0.266,0.049787068367863944
2014,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,historical proxy only,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,1.34,0.266,42.1,2016,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,1.3,40.79,,No sub-annual data available,0,0,0.25,0.314,-0.04799999999999999,-0.069,-0.02699999999999997,-0.1804511278195488,0.258,0.06392786120670757
2015,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,historical proxy only,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,1.3,0.258,51.6,2016,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,40.79,44.44,,No sub-annual data available,0,0,0.3125,0.266,-0.008000000000000007,-0.055999999999999994,0.03999999999999998,-0.031007751937984523,7.426,0.0820849986238988
2016,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,40.79,7.426,1911.8,2016,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,44.44,47.79,,No sub-annual data available,0,0,0.375,0.258,7.168,7.16,7.176,0.9652572044169135,7.57,0.10539922456186433
2017,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,44.44,7.57,3286.4,2016,NISR Labour Force Survey microdata,1,47.79,50.73,,No sub-annual data available,0,1,0.4375,7.426,0.14400000000000013,7.312,-7.024,0.01902245706737122,7.432,0.1353352832366127
2018,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,47.79,7.432,5149.6,2016,NISR Labour Force Survey microdata,1,50.73,52.45,,No sub-annual data available,0,2,0.5,7.57,-0.1379999999999999,0.006000000000000227,-0.28200000000000003,-0.01856835306781484,7.503,0.17377394345044514
2019,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,50.73,7.503,7276.6,2016,NISR Labour Force Survey microdata,1,52.45,53.14,,No sub-annual data available,0,3,0.5625,7.432,0.07099999999999973,-0.06700000000000017,0.20899999999999963,0.009462881514061007,7.63,0.22313016014842982
2020,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,52.45,7.63,7005.9,2016,NISR Labour Force Survey microdata,1,53.14,53.84,,No sub-annual data available,0,4,0.625,7.503,0.12699999999999978,0.1979999999999995,0.05600000000000005,0.016644823066841386,7.667,0.2865047968601901
2021,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,53.14,7.667,4189.2,2016,NISR Labour Force Survey microdata,1,53.84,55.16,,No sub-annual data available,0,5,0.6875,7.63,0.03699999999999992,0.1639999999999997,-0.08999999999999986,0.0048258771357766956,7.556,0.36787944117144233
2022,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,53.84,7.556,6481.9,2016,NISR Labour Force Survey microdata,1,55.16,56.42,,No sub-annual data available,0,6,0.75,7.667,-0.11099999999999977,-0.07399999999999984,-0.1479999999999997,-0.014690312334568524,7.488,0.4723665527410147
2023,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,55.16,7.488,10205.3,2016,NISR Labour Force Survey microdata,1,56.42,56.69,,No sub-annual data available,0,7,0.8125,7.556,-0.06799999999999962,-0.17899999999999938,0.04300000000000015,-0.00908119658119653,7.566,0.6065306597126334
2024,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,56.42,7.566,13649.0,2016,NISR Labour Force Survey microdata,1,56.69,81.5,,No sub-annual data available,0,8,0.875,7.488,0.0779999999999994,0.009999999999999787,0.14599999999999902,0.010309278350515386,7.654,0.7788007830714049
2025,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,56.69,7.654,16318.9,2016,NISR Labour Force Survey microdata,1,81.5,,,No sub-annual data available,0,9,0.9375,7.566,0.08800000000000008,0.16599999999999948,0.010000000000000675,0.01149725633655606,8.992,1.0
2010,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.27,0.062,3.5,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.23,0.21,,No sub-annual data available,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.023517745856009107
2011,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),historical proxy only,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,0.23,0.054,4.0,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.21,0.21,,No sub-annual data available,1,0,0.0625,0.062,-0.008,0.0,0.0,-0.14814814814814814,0.049,0.0301973834223185
2012,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),historical proxy only,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,0.21,0.049,4.7,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.21,0.2,,No sub-annual data available,1,0,0.125,0.054,-0.0049999999999999975,-0.012999999999999998,0.0030000000000000027,-0.10204081632653056,0.047,0.03877420783172201
2013,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),historical proxy only,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,0.21,0.047,5.8,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.2,0.2,,No sub-annual data available,1,0,0.1875,0.049,-0.0020000000000000018,-0.006999999999999999,0.0029999999999999957,-0.04255319148936174,0.04,0.049787068367863944
2014,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),historical proxy only,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,0.2,0.04,6.3,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.2,0.19,,No sub-annual data available,1,0,0.25,0.047,-0.006999999999999999,-0.009000000000000001,-0.0049999999999999975,-0.175,0.039,0.06392786120670757
