role,horizon,forecast_year,forecasted_demand_index,forecasted_share_pct,forecasted_employment_proxy,confidence_lower,confidence_upper,trend_direction
IT Officer / ICT Administrator,1y,2027,100.0,13.21,37360,95.09,100.0,growing
Backend Developer,1y,2027,90.07,11.89,33650,85.16,94.98,growing
DevOps / Cloud Engineer,1y,2027,75.59,9.98,28241,70.68,80.5,growing
Software Developer / Software Engineer,1y,2027,61.19,8.08,22860,56.28,66.1,declining
ICT Manager / IT Manager,1y,2027,55.1,7.28,20585,50.19,60.01,growing
Systems Analyst / IT Business Analyst,1y,2027,39.23,5.18,14655,34.32,44.14,stable
Frontend / Web Developer,1y,2027,38.7,5.11,14460,33.79,43.61,declining
QA / Software Test Engineer,1y,2027,35.71,4.72,13342,30.8,40.62,growing
Systems Administrator,1y,2027,32.09,4.24,11989,27.18,37.0,declining
Full-Stack Developer,1y,2027,31.44,4.15,11747,26.53,36.35,declining
Data Analyst,1y,2027,31.32,4.14,11701,26.41,36.23,declining
Mobile App Developer,1y,2027,30.87,4.08,11531,25.96,35.78,stable
Data Engineer,1y,2027,24.89,3.29,9299,19.98,29.8,stable
Database Administrator,1y,2027,24.39,3.22,9113,19.48,29.3,declining
Network Engineer / Network Administrator,1y,2027,23.72,3.13,8863,18.81,28.63,declining
Cybersecurity Analyst / Security Engineer,1y,2027,19.8,2.61,7395,14.89,24.71,growing
IT Auditor / IT Governance & Risk,1y,2027,19.03,2.51,7110,14.12,23.94,growing
Data Scientist,1y,2027,10.76,1.42,4019,5.85,15.67,declining
IT Support / Help Desk Technician,1y,2027,9.62,1.27,3595,4.71,14.53,declining
Other ICT Technical Roles,1y,2027,3.74,0.49,1397,0.0,8.65,declining
DevOps / Cloud Engineer,2y,2028,100.0,15.59,49397,91.81,100.0,growing
IT Officer / ICT Administrator,2y,2028,78.17,12.19,38613,69.98,86.36,growing
Backend Developer,2y,2028,74.53,11.62,36817,66.34,82.72,growing
ICT Manager / IT Manager,2y,2028,60.88,9.49,30075,52.69,69.07,growing
QA / Software Test Engineer,2y,2028,43.22,6.74,21349,35.03,51.41,growing
Software Developer / Software Engineer,2y,2028,34.8,5.43,17190,26.61,42.99,declining
Systems Analyst / IT Business Analyst,2y,2028,28.77,4.49,14211,20.58,36.96,declining
Frontend / Web Developer,2y,2028,25.06,3.91,12379,16.87,33.25,declining
IT Auditor / IT Governance & Risk,2y,2028,22.8,3.56,11265,14.61,30.99,growing
Mobile App Developer,2y,2028,22.24,3.47,10987,14.05,30.43,declining
Systems Administrator,2y,2028,20.85,3.25,10301,12.66,29.04,declining
Full-Stack Developer,2y,2028,20.39,3.18,10074,12.2,28.58,declining
Data Engineer,2y,2028,18.99,2.96,9381,10.8,27.18,declining
Data Analyst,2y,2028,18.21,2.84,8994,10.02,26.4,declining
Cybersecurity Analyst / Security Engineer,2y,2028,18.04,2.81,8913,9.85,26.23,growing
Database Administrator,2y,2028,17.08,2.66,8435,8.89,25.27,declining
Network Engineer / Network Administrator,2y,2028,14.53,2.27,7178,6.34,22.72,declining
Data Scientist,2y,2028,9.81,1.53,4843,1.62,18.0,declining
Other ICT Technical Roles,2y,2028,6.59,1.03,3257,0.0,14.78,declining
IT Support / Help Desk Technician,2y,2028,6.48,1.01,3201,0.0,14.67,declining
IT Officer / ICT Administrator,6m,2027,100.0,11.77,31140,96.72,100.0,growing
Backend Developer,6m,2027,94.09,10.44,27618,90.81,97.37,growing
DevOps / Cloud Engineer,6m,2027,81.49,7.09,18762,78.21,84.77,growing
Software Developer / Software Engineer,6m,2027,78.86,9.56,25276,75.58,82.14,declining
ICT Manager / IT Manager,6m,2027,65.85,5.72,15117,62.57,69.13,growing
Frontend / Web Developer,6m,2027,58.47,5.7,15066,55.19,61.75,declining
Systems Analyst / IT Business Analyst,6m,2027,56.95,5.31,14040,53.67,60.23,stable
Data Analyst,6m,2027,53.36,5.19,13723,50.08,56.64,declining
Systems Administrator,6m,2027,51.47,4.75,12575,48.19,54.75,declining
Full-Stack Developer,6m,2027,50.68,4.65,12301,47.4,53.96,declining
Mobile App Developer,6m,2027,47.32,4.1,10841,44.04,50.6,stable
Network Engineer / Network Administrator,6m,2027,46.21,4.33,11442,42.93,49.49,declining
QA / Software Test Engineer,6m,2027,45.36,3.52,9318,42.08,48.64,growing
Database Administrator,6m,2027,43.05,3.77,9980,39.77,46.33,declining
IT Support / Help Desk Technician,6m,2027,40.45,4.05,10718,37.17,43.73,declining
Data Engineer,6m,2027,39.53,3.24,8574,36.25,42.81,stable
Cybersecurity Analyst / Security Engineer,6m,2027,28.89,2.15,5688,25.61,32.17,growing
IT Auditor / IT Governance & Risk,6m,2027,23.3,1.62,4295,20.02,26.58,growing
Data Scientist,6m,2027,22.35,1.7,4484,19.07,25.63,declining
Other ICT Technical Roles,6m,2027,17.24,1.32,3501,13.96,20.52,declining
