name,min_year,decay_rate,rolling_window,n_train_rows,spearman,pearson,cv_r2,devops_pred_rank,it_support_pred_rank
K: 2015+ decay=0.30,2015,0.3,2,200,0.3850065060583161,0.37090234498187785,0.9421612760442922,19.0,6.0
N: 2015+ decay=0.25 shallow,2015,0.25,2,200,0.3850065060583161,0.3675728297017934,0.942180940833866,19.0,6.0
C: trim to 2015+,2015,0.0,2,200,0.3804591851206193,0.37161612638785285,0.9402010359849353,19.0,5.0
"A: baseline (2005+, no weight, 3y roll)",2005,0.0,3,398,0.3781855246517711,0.3643060545755039,0.9291191854909153,19.0,4.0
O: 2010+ decay=0.25 shallow,2010,0.25,2,300,0.36833299595342833,0.3649950121750776,0.9434150917666491,19.0,5.0
Q: 2015+ decay=0.25 XGBoost,2015,0.25,2,200,0.3668172223075295,0.36924385367675294,0.911188386548826,19.0,4.0
J: 2015+ decay=0.20,2015,0.2,2,200,0.36605933548458003,0.36384582589947506,0.9408860761750992,19.0,5.0
F: 2005+ decay=0.25,2005,0.25,2,398,0.36605933548458003,0.362285774387758,0.9327099999948297,19.0,5.0
H: 2010+ decay=0.20,2010,0.2,2,300,0.36605933548458003,0.36738044647350326,0.9447357524825785,19.0,5.0
G: 2005+ decay=0.35,2005,0.35,2,398,0.36605933548458003,0.36728463301053316,0.930913457032687,19.0,5.0
I: 2010+ decay=0.30,2010,0.3,2,300,0.36605933548458003,0.3644569049597941,0.9439566184604953,19.0,5.0
E: 2005+ decay=0.15,2005,0.15,2,398,0.3577225804321362,0.3568634648381945,0.9324841808828586,19.0,4.0
D: trim to 2017+ (gov-verified only),2017,0.0,2,160,0.3531752594944395,0.39001708864821094,0.9416451159718007,19.0,5.0
B: trim to 2010+,2010,0.0,2,300,0.3524173726714901,0.3564320073785122,0.9437403186179173,19.0,4.0
M: 2017+ decay=0.35,2017,0.35,2,160,0.3524173726714901,0.36967079081882515,0.9450645602268508,19.0,4.0
L: 2017+ decay=0.25,2017,0.25,2,160,0.3524173726714901,0.39606666714719824,0.9475089657355251,19.0,4.0
P: 2017+ decay=0.30 shallow,2017,0.3,2,160,0.3524173726714901,0.39507812839916323,0.947289370186614,19.0,4.0
R: 2017+ decay=0.30 deep,2017,0.3,2,160,0.3524173726714901,0.3824826414396171,0.9495413992949768,19.0,4.0
