id,psu_no,pid,district,weight,code_ur,a01,a02,a04,d05,d24,indd03,wap16,employed16,ur1,lfpr,sub,jobsearch,plf,youth,young,main_sect,attained,cash,age5,age10,usualhrs,usual_h,act_hrs,acthrs,ya,usualhrsc,usualhc,status1,lfs_round,district_1,c21,tvt,a0a,a0b,a0c,a0d,a1a,a1b,i08,i09,i10,i11,i12,lfs_year,weight2,d03b1
1,1119,11190101,11,238.0989206236894,1,2,1,23,4,,7,1,100,0,100,2,1,,1,1,3,3,,5,1,6,69,69,6,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
2,1119,11190201,11,238.0989206236894,1,1,1,34,4,,7,1,100,0,100,2,1,,,,3,5,,7,2,6,63,63,6,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
3,1119,11190202,11,238.0989206236894,1,2,2,26,6,,7,1,100,0,100,2,1,,,1,3,5,,6,2,1,14,14,1,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
4,1119,11190301,11,238.0989206236894,1,1,1,37,1,,8,1,100,0,100,2,1,,,,3,2,80000,8,3,5,56,52,5,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,49
5,1119,11190401,11,238.0989206236894,1,2,1,30,3,,9,1,100,0,100,2,1,,,1,3,4,,7,2,2,32,36,3,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,56
6,1119,11190402,11,238.0989206236894,1,1,3,6,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
7,1119,11190403,11,238.0989206236894,1,1,3,4,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
8,1119,11190501,11,238.0989206236894,1,1,1,30,4,,19,1,100,0,100,2,1,,,1,3,1,,7,2,6,78,78,6,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,96
9,1119,11190502,11,238.0989206236894,1,2,2,27,,,,1,0,100,100,2,1,,,1,,2,,6,2,,,,,1,,,2,9,,,,,,,,,,,,,,,2020,59.52473068237305,
10,1119,11190503,11,238.0989206236894,1,1,3,5,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
11,1119,11190504,11,238.0989206236894,1,1,3,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
12,1119,11190506,11,238.0989206236894,1,1,7,22,6,,19,1,100,0,100,2,1,,1,1,3,3,,5,1,5,60,60,5,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,96
13,1119,11190701,11,238.0989206236894,1,2,1,70,,,,1,0,,0,2,1,,,,,1,,15,5,,,,,2,,,3,9,,,,,,,,,,,,,,,2020,59.52473068237305,
14,1119,11190702,11,238.0989206236894,1,1,5,21,4,,7,1,100,0,100,2,1,,1,1,3,2,,5,1,6,63,63,6,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
15,1119,11190703,11,238.0989206236894,1,1,5,30,1,,3,1,100,0,100,2,1,,,1,2,3,66667,7,2,5,56,56,5,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,18
16,1119,11190704,11,238.0989206236894,1,1,3,36,4,,8,1,100,0,100,2,1,,,,3,1,,8,3,2,25,16,1,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,49
17,1119,11190705,11,238.0989206236894,1,1,5,13,,,,,,,,,1,,,,,,,3,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
18,1119,11190706,11,238.0989206236894,1,1,5,8,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
19,1119,11190707,11,238.0989206236894,1,1,5,8,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
20,1119,11190708,11,238.0989206236894,1,2,5,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
21,1119,11190709,11,238.0989206236894,1,2,5,2,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
