source,source_url,source_job_id,scraped_at,raw_hash,country,title,company,location_raw,industry_raw,education_raw,experience_raw,contract_type_raw,closing_date,num_positions,posted_date,job_status,is_ict,ict_role_confidence,classification_reason,original_job_title,normalized_role,role_family,role_group,role_level,role_normalization_confidence,role_group_confidence,normalization_reason,needs_manual_review,manual_review_reason
jobinrwanda,https://www.jobinrwanda.com/index.php/job/advisor-e-mobility-development-partnership-private-sector,advisor-e-mobility-development-partnership-private-sector,2026-09-10T12:18:25.647851,8ad9c2a086728695e75a0ec3d993b81b8f04eff5e042059ba39cf603fe11ccdf,Rwanda,Advisor E-mobility Development Partnership With the Private Sector,GIZ Rwanda,kigali,"Administration, Economics, Social sciences",Master,Senior (5+ years of experience),Full-time,2026-09-13,1.0,2026-07-20,active,False,0.0,Some non-ICT signals detected (1 matches),Advisor E-mobility Development Partnership With the Private Sector,,,,,,,,False,
jobinrwanda,https://www.jobinrwanda.com/job/chief-strategy-officer-cso,chief-strategy-officer-cso,2026-09-10T12:18:29.961837,4e26369b7fe925f3ac2a01daa92f2e3b2d4a2b2432b66cca40aac2e04632765b,Rwanda,Chief Strategy Officer,Aviation Travel & Logistics Holding Ltd,KIGALI,"Administration, Economics, Engineering, Finance and investment",Bachelor,Executive level,Full-time,2026-10-05,1.0,2026-07-20,active,False,0.0,No significant ICT evidence found,Chief Strategy Officer,,,,,,,,False,
jobinrwanda,https://www.jobinrwanda.com/job/marketing-associate-acquisition,marketing-associate-acquisition,2026-09-10T12:18:34.052191,08a42ef2a223a87ba5d660a3516db340a2713c480baa9d58006738bfb6c8bb2e,Rwanda,"Marketing Associate, Acquisition",Numida Technologies,Kigali,Finance and investment,Not specified,Mid career (3 to 5 years of experience),Full-time,2026-09-18,1.0,2026-07-24,active,False,0.0,Some non-ICT signals detected (1 matches),"Marketing Associate, Acquisition",,,,,,,,False,
jobinrwanda,https://www.jobinrwanda.com/index.php/job/project-assistant-4,project-assistant-4,2026-09-10T12:18:38.099178,d60cfa430b326eb3042302a7c8e64256d6eb8fab3ec1d31fa29a169cc8267b8d,Rwanda,Project Assistant,Raising The Village,"Rutsiro, Nyamasheke","Agriculture, Other, Social sciences",Bachelor,Entry level (1 to 3 years of experience),Full-time,2026-10-10,3.0,2026-07-20,active,False,0.0,Weak ICT function evidence (1 keyword clusters); Multiple non-ICT signals detected (2 matches),Project Assistant,,,,,,,,False,
jobinrwanda,https://www.jobinrwanda.com/index.php/job/field-associate-hr,field-associate-hr,2026-09-10T12:18:42.161907,35232772ecce5aa281977a71342d3c15192af4e0f926c2560be664a3ff917fa4,Rwanda,Field Associate HR,BRAC,Kigali,"Academic, Accounting, Human resource, Management, Marketing and sales",Bachelor,Entry level (1 to 3 years of experience),Full-time,2026-09-23,1.0,2026-06-23,active,False,0.0,No significant ICT evidence found,Field Associate HR,,,,,,,,False,
jobinrwanda,https://www.jobinrwanda.com/index.php/job/architect-0,architect-0,2026-09-10T12:18:46.532696,10aaf498f823f236ecb97b2f457964400ea8c28980bf7ed985db65eb6679428d,Rwanda,Architect,Aviation Travel & Logistics Holding Ltd,KIGALI,"Engineering, Other",Bachelor,Senior (5+ years of experience),Full-time,2026-10-05,1.0,2026-08-18,active,False,0.0,Some non-ICT signals detected (1 matches),Architect,,,,,,,,False,
jobinrwanda,https://www.jobinrwanda.com/job/umushoferi,umushoferi,2026-09-10T12:18:51.007542,fe4bc5d51866dcd9676cfcec8b33659e38ea5984bbc9bf429299cd3744b40fc3,Rwanda,Umushoferi,MGk Transpovision 19 Ltd,Kigali,"Logistics, Other",Not specified,Not specified,Full-time,2026-10-05,1.0,2026-08-18,active,False,0.0,No significant ICT evidence found,Umushoferi,,,,,,,,False,
jobinrwanda,https://www.jobinrwanda.com/job/territory-lead,territory-lead,2026-09-10T12:18:55.611789,1af89afb93f70eebb98517ed29c43600fe27566ceb7b45a297269718248d9e4d,Rwanda,Territory Lead,EarthEnable Rwanda,Bugesera,"Business, Marketing and sales",Bachelor,Mid career (3 to 5 years of experience),Full-time,2026-09-27,1.0,2026-07-31,active,False,0.0,No significant ICT evidence found,Territory Lead,,,,,,,,False,
jobinrwanda,https://www.jobinrwanda.com/index.php/job/fb-cashier-0,fb-cashier-0,2026-09-10T12:18:59.894002,ad30c1ae09847fd7a9a659bf729c046d4a1e5d5c361e9417e3551b0fca8866e4,Rwanda,F&B Cashier,Rwanda Ultimate Golf Course,Kigali,"Accounting, Administration, Hospitality",Bachelor,Entry level (1 to 3 years of experience),Full-time,2026-09-14,1.0,2026-06-23,active,False,0.0,No significant ICT evidence found,F&B Cashier,,,,,,,,False,
jobinrwanda,https://www.jobinrwanda.com/index.php/job/peri-operative-nurse,peri-operative-nurse,2026-09-10T12:19:04.668859,79549022c6136de3adbe70da3d24670f6d52680d4db5ce39820bbf41b7962012,Rwanda,Peri-operative nurse,Partners In Health/Inshuti Mu Buzima (PIH),Burera,"Health, Other",Master,Senior (5+ years of experience),Full-time,2026-09-11,1.0,2026-08-18,active,False,0.0,Some non-ICT signals detected (1 matches),Peri-operative nurse,,,,,,,,False,
