id,year,period,sector,role_family,role,occupation_proxy,historical_role_status,ict_employment,ict_employment_share_pct,total_employment,labour_force_participation_rate_pct,employment_to_population_ratio_pct,unemployment_rate_pct,tertiary_employment_count,role_demand_index,role_share_within_ict_pct,role_employment_proxy,emergence_year,data_basis,synthetic_flag,target_role_demand_index_1y,target_role_demand_index_2y,target_role_demand_6m,note_6m
ICT05_2005_001,2005,2005-01-01/2005-12-31,ICT / Computer Science,Software Development,Software Developer / Software Engineer,2512/2514,Established / growing,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,44.1,7.2527,110.2,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,45.32,46.52,,No sub-annual data available
ICT05_2005_002,2005,2005-01-01/2005-12-31,ICT / Computer Science,Software Development,Frontend / Web Developer,2513,Established / smaller volume,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,20.57,3.3846,51.4,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,22.28,24.15,,No sub-annual data available
ICT05_2005_003,2005,2005-01-01/2005-12-31,ICT / Computer Science,Software Development,Mobile App Developer,2514,Emerging,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,3.52,0.5802,8.8,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,4.11,4.82,,No sub-annual data available
ICT05_2005_004,2005,2005-01-01/2005-12-31,ICT / Computer Science,Systems Analysis,Systems Analyst / IT Business Analyst,2511,Established / smaller volume,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,23.53,3.8681,58.8,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,24.17,24.82,,No sub-annual data available
ICT05_2005_005,2005,2005-01-01/2005-12-31,ICT / Computer Science,Data & Analytics,Data Analyst,Data/Analytical proxy,Established / smaller volume,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,16.49,2.7077,41.2,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,17.23,18.01,,No sub-annual data available
ICT05_2005_006,2005,2005-01-01/2005-12-31,ICT / Computer Science,Data & Analytics,Data Engineer,Data/ICT proxy,Emerging,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,2.92,0.4835,7.3,2009,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,3.36,3.82,,No sub-annual data available
ICT05_2005_007,2005,2005-01-01/2005-12-31,ICT / Computer Science,Data & Analytics,Data Scientist,Emerging modern role proxy,Not mature / emerging,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,0.32,0.0532,0.8,2012,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,0.35,0.4,,No sub-annual data available
ICT05_2005_008,2005,2005-01-01/2005-12-31,ICT / Computer Science,Data & Database,Database Administrator,2521,Established / growing,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,28.25,4.6417,70.6,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,28.47,28.71,,No sub-annual data available
ICT05_2005_009,2005,2005-01-01/2005-12-31,ICT / Computer Science,Networks,Network Engineer / Network Administrator,2523,Established / high infrastructure relevance,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,100.0,16.4394,249.9,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,100.0,100.0,,No sub-annual data available
ICT05_2005_010,2005,2005-01-01/2005-12-31,ICT / Computer Science,Systems & Infrastructure,Systems Administrator,2522,Established / high infrastructure relevance,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,73.51,12.0878,183.7,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,75.67,77.89,,No sub-annual data available
