year,period,sector,role_family,role,occupation_proxy,historical_role_status,ict_employment,ict_employment_share_pct,total_employment,labour_force_participation_rate_pct,employment_to_population_ratio_pct,unemployment_rate_pct,tertiary_employment_count,role_demand_index,role_share_within_ict_pct,role_employment_proxy,emergence_year,data_basis,synthetic_flag,target_role_demand_index_1y,target_role_demand_index_2y,target_role_demand_6m,note_6m
2019,annual,ICT,Software Development,Software Developer / Software Engineer,Software developers / applications programmers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,100.0,14.791,14344.6,2010,NISR Labour Force Survey microdata,1,100.0,100.0,,No sub-annual data available
2019,annual,ICT,Software Development,Backend Developer,Software developers / applications programmers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,50.73,7.503,7276.6,2016,NISR Labour Force Survey microdata,1,52.45,53.14,,No sub-annual data available
2019,annual,ICT,Software & Web Development,Frontend / Web Developer,Web and multimedia developers / applications programmers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,50.32,7.443,7218.4,2014,NISR Labour Force Survey microdata,1,50.69,50.04,,No sub-annual data available
2019,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,35.0,5.177,5020.8,2018,NISR Labour Force Survey microdata,1,36.82,37.5,,No sub-annual data available
2019,annual,ICT,Software Development,Mobile App Developer,Applications programmers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,32.88,4.863,4716.2,2014,NISR Labour Force Survey microdata,1,32.31,31.58,,No sub-annual data available
2019,annual,ICT,Systems Analysis,Systems Analyst / IT Business Analyst,Systems analysts,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,47.68,7.053,6840.1,2010,NISR Labour Force Survey microdata,1,45.65,44.31,,No sub-annual data available
2019,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,34.57,5.113,4958.7,2017,NISR Labour Force Survey microdata,1,36.75,39.55,,No sub-annual data available
2019,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,13.12,1.94,1881.5,2019,NISR Labour Force Survey microdata,1,14.88,16.97,,No sub-annual data available
2019,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,0.26,0.039,37.8,2020,NISR Labour Force Survey microdata,1,8.28,9.9,,No sub-annual data available
2019,annual,ICT,Data & Database,Database Administrator,Database designers and administrators,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,37.2,5.503,5336.9,2010,NISR Labour Force Survey microdata,1,36.35,36.8,,No sub-annual data available
2019,annual,ICT,Networks,Network Engineer / Network Administrator,Computer network professionals,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,47.61,7.042,6829.5,2010,NISR Labour Force Survey microdata,1,47.11,47.68,,No sub-annual data available
2019,annual,ICT,Systems & Infrastructure,Systems Administrator,Systems administrators,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,43.59,6.448,6253.4,2010,NISR Labour Force Survey microdata,1,43.52,43.72,,No sub-annual data available
2019,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,60.5,8.948,8677.9,2010,NISR Labour Force Survey microdata,1,60.51,60.08,,No sub-annual data available
2019,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,54.15,8.009,7767.3,2010,NISR Labour Force Survey microdata,1,53.89,52.83,,No sub-annual data available
2019,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,7.17,1.06,1028.0,2018,NISR Labour Force Survey microdata,1,8.07,8.75,,No sub-annual data available
2019,annual,ICT,Cloud & DevOps,DevOps / Cloud Engineer,Systems/network/software occupations (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,4.73,0.7,678.9,2019,NISR Labour Force Survey microdata,1,5.46,6.04,,No sub-annual data available
2019,annual,ICT,Software Quality,QA / Software Test Engineer,Software and applications developers/analysts n.e.c. (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,10.55,1.561,1513.9,2016,NISR Labour Force Survey microdata,1,10.5,10.42,,No sub-annual data available
2019,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,23.73,3.51,3404.1,2010,NISR Labour Force Survey microdata,1,22.65,22.1,,No sub-annual data available
2019,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,4.06,0.6,581.9,2017,NISR Labour Force Survey microdata,1,4.07,4.17,,No sub-annual data available
2019,annual,ICT,Other ICT,Other ICT Technical Roles,Related ICT occupation groups,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,18.22,2.695,2613.7,2010,NISR Labour Force Survey microdata,1,17.5,17.52,,No sub-annual data available
