original_job_title,company,normalized_role,role_family,role_group,is_ict,ict_role_confidence,role_normalization_confidence,role_group_confidence,classification_reason,normalization_reason,needs_manual_review,manual_review_reason,min_confidence
Advisor E-mobility Development Partnership With the Private Sector,GIZ Rwanda,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Chief Strategy Officer,Aviation Travel & Logistics Holding Ltd,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
"Marketing Associate, Acquisition",Numida Technologies,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Project Assistant,Raising The Village,,,,False,0.0,,,Weak ICT function evidence (1 keyword clusters); Multiple non-ICT signals detected (2 matches),,False,,0.0
Field Associate HR,BRAC,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Architect,Aviation Travel & Logistics Holding Ltd,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Umushoferi,MGk Transpovision 19 Ltd,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Territory Lead,EarthEnable Rwanda,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
F&B Cashier,Rwanda Ultimate Golf Course,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Peri-operative nurse,Partners In Health/Inshuti Mu Buzima (PIH),,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Geologist – Mining,Lyon Mining Services Ltd,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Finance Officer,Rwanda Women Network,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Payments & Reconciliation Transformation Lead,One Acre Fund,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Estate officer,East African University Rwanda,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Biomedical Engineer,Rwanda Medical Supply Ltd,,,,False,0.0,,,Multiple non-ICT signals detected (2 matches),,False,,0.0
Conservation Agriculture (Fixed-term),One Acre Fund,,,,False,0.0,,,Multiple non-ICT signals detected (2 matches),,False,,0.0
Agricultural Supply Officer,LFL Rwanda LTD,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Senior Breast Imaging Officer,Partners In Health/Inshuti Mu Buzima (PIH),,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Production Supervisor,LFL Rwanda LTD,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
"Safety, Security and Safeguarding Coordinator",Save the Children,,,,False,0.0,,,Multiple non-ICT signals detected (3 matches),,False,,0.0
Inventory & AP Junior Accountant,One Acre Fund,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Operations Manager,Union Group,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Program Officer,BRAC,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Rwanda Procurement Store Intern,One Acre Fund,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Medical Surgical Nurse,Partners In Health/Inshuti Mu Buzima (PIH),,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Engineering Technician,American Embassy Kigali Mission Rwanda,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Field Coordinator,Rwanda Women Network,,,,False,0.0,,,Weak ICT function evidence (1 keyword clusters); Multiple non-ICT signals detected (4 matches),,False,,0.0
PURE Advisor,SNV Rwanda,,,,False,0.0,,,Multiple non-ICT signals detected (2 matches),,False,,0.0
Gender-Transformative & Social Inclusion Expert (GTSI) (H/F),Expertise France,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Biomedical Engineer Professional Intern,Rwanda Medical Supply Ltd,,,,False,0.0,,,Multiple non-ICT signals detected (2 matches),,False,,0.0
Director of Commercial,Premier Transport and Tour Services Ltd,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Rwanda Outgrower Production Senior Coordinator (Fixed-term),One Acre Fund,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Agent De Facturation Et De Recouvrement,Echowa Ltd,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Fitness Coach,Rwanda Ultimate Golf Course,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Strategic Partnerships Manager / Senior Associate,One Acre Fund,,,,False,0.0,,,Multiple non-ICT signals detected (3 matches),,False,,0.0
Marketing,Stable Logistics Ltd,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
HoD Leisure Tourism and Hotel Management,East African University Rwanda,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Asset Protection Administrative Officer,Trinity Nyakabingo Mines Ltd,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Head of Directorate of Research & Development,IBUKA,,,,False,0.0,,,Multiple non-ICT signals detected (6 matches),,False,,0.0
Recreation Supervisor,Kigali Marriott Hotel,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Program Director,CARE International Rwanda,,,,False,0.0,,,Multiple non-ICT signals detected (4 matches),,False,,0.0
Carbon Finance Manager (Fixed-Term),One Acre Fund,,,,False,0.0,,,Multiple non-ICT signals detected (2 matches),,False,,0.0
