normalized_role,posting_count,unique_employers,demand_share_pct,rank
Backend Developer,9,1,16.1,1
DevOps / Cloud Engineer,9,2,16.1,2
Systems Analyst / IT Business Analyst,5,1,8.9,3
Mobile App Developer,4,1,7.1,4
Frontend / Web Developer,4,1,7.1,5
Systems Administrator,4,1,7.1,6
QA / Software Test Engineer,4,2,7.1,7
Full-Stack Developer,3,3,5.4,8
Software Developer / Software Engineer,3,3,5.4,9
Data Engineer,2,1,3.6,10
Network Engineer / Network Administrator,2,2,3.6,11
ICT Manager / IT Manager,2,2,3.6,12
Database Administrator,1,1,1.8,13
Data Analyst,1,1,1.8,14
Cybersecurity Analyst / Security Engineer,1,1,1.8,15
IT Auditor / IT Governance & Risk,1,1,1.8,16
IT Officer / ICT Administrator,1,1,1.8,17
