source,source_url,source_job_id,scraped_at,country,title,original_title,company,location_raw,industry_raw,description,raw_text,posted_date,job_status
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/fullstack-developer-kigali-182789,182789,2026-09-10T13:03:00.961319,Rwanda,FullStack Developer,FullStack Developer - Kigali,MALFOUR LIMITED,Kigali,#NAME?,"MalFour Limited is seeking a Junior  Full-Stack Developer  to join our founding technical team. This is a rare opportunity to get in early with a growing startup  with a genuine path to grow into a part-owner of the company as it scales. You'll work across the front end and back end of our product, contributing directly to features used daily by pharmacies across Rwanda.+plus","MalFour Limited is seeking a Junior  Full-Stack Developer  to join our founding technical team. This is a rare opportunity to get in early with a growing startup  with a genuine path to grow into a part-owner of the company as it scales. You'll work across the front end and back end of our product, contributing directly to features used daily by pharmacies across Rwanda.+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/national-sales-manager-kigali-153365,153365,2026-09-10T13:03:00.961548,Rwanda,National Sales Manager,National Sales Manager - Kigali,NEIL CORPORATION LTD,Kigali,#NAME?,"We are looking for a  National Sales Manager.    Key Responsibilities     Lead nationwide sales operations and guide regional sales teams.    Develop and implement sales strategies to meet revenue targets.    Analyze market trends and identify new business opportunities.    Build and maintain strong relationships with key clients and partners.    Monitor sales performance, prepare reports, and adjust strategies as needed.    Train, motivate, and support sales teams for improved productivity.    Ensure consistent brand messaging and competitive positioning across all regions.+plus","We are looking for a  National Sales Manager.    Key Responsibilities     Lead nationwide sales operations and guide regional sales teams.    Develop and implement sales strategies to meet revenue targets.    Analyze market trends and identify new business opportunities.    Build and maintain strong relationships with key clients and partners.    Monitor sales performance, prepare reports, and adjust strategies as needed.    Train, motivate, and support sales teams for improved productivity.    Ensure consistent brand messaging and competitive positioning across all regions.+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/accounts-payable-manager-kigali-161231,161231,2026-09-10T13:03:00.961729,Rwanda,Accounts Payable Manager,Accounts Payable Manager - Kigali,NEIL CORPORATION LTD,Kigali,#NAME?,"we are looking for an experienced and competent  Accounts Payable Manager  to join our Accounting   department on full-time basis. You will be responsible for day to day smooth running of all accounts payable functions. Besides, you will be serving as an intermediary between the Accounts Payable department and different vendors/suppliers. Conducting timely and accurate account reconciliation is also a part of your job role.   You will be directly reporting to the Director of the Accounting Department. Also, you will be hiring and training staff members and assigning them daily tasks. You should be supervising all routine activities like maintaining the general ledger and processing payrolls/invoices on time. Your...+plus","we are looking for an experienced and competent  Accounts Payable Manager  to join our Accounting   department on full-time basis. You will be responsible for day to day smooth running of all accounts payable functions. Besides, you will be serving as an intermediary between the Accounts Payable department and different vendors/suppliers. Conducting timely and accurate account reconciliation is also a part of your job role.   You will be directly reporting to the Director of the Accounting Department. Also, you will be hiring and training staff members and assigning them daily tasks. You should be supervising all routine activities like maintaining the general ledger and processing payrolls/invoices on time. Your...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/recruitment-marketing-manager-kigali-161233,161233,2026-09-10T13:03:00.961887,Rwanda,Recruitment Marketing Manager,Recruitment Marketing Manager - Kigali,NEIL CORPORATION LTD,Kigali,#NAME?,"We are looking for an ideal candidate as a  Recruitment Marketing Manager  to work in the Human Resources Department of our company.   You will be assisting us to advertise our organization as a great workplace among the masses. You will be doing this by creating engaging content and making great relations with the best applicants.   As a Recruitment Marketing Manager, your duties will include reaching out to candidates via various platforms as well as staffing agencies to promote job openings. You will be responsible for creating job roles, posting the same on job boards, and making aimed job elucidations. You will be also responsible for organizing job festivals for better candidate experience.+plus","We are looking for an ideal candidate as a  Recruitment Marketing Manager  to work in the Human Resources Department of our company.   You will be assisting us to advertise our organization as a great workplace among the masses. You will be doing this by creating engaging content and making great relations with the best applicants.   As a Recruitment Marketing Manager, your duties will include reaching out to candidates via various platforms as well as staffing agencies to promote job openings. You will be responsible for creating job roles, posting the same on job boards, and making aimed job elucidations. You will be also responsible for organizing job festivals for better candidate experience.+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/territory-sales-manager-northern-province-177268,177268,2026-09-10T13:03:00.962038,Rwanda,Territory Sales Manager,Territory Sales Manager - Northern Province,DATA- ORBIT LABS,Northern Province,#NAME?,"The Territory Sales Manager is responsible for leading sales activities within an assigned geographic territory to achieve revenue, profitability, and market share objectives. The role involves developing and executing territory sales strategies, managing key customer relationships, identifying new business opportunities, overseeing distributor and channel partner performance, and leading sales initiatives to drive sustainable business growth. The Territory Sales Manager ensures excellent customer service, market intelligence, and effective coordination with internal teams to support the organization's strategic objectives.     Key Responsibilities      Develop and implement territory sales strategies aligned with the...+plus","The Territory Sales Manager is responsible for leading sales activities within an assigned geographic territory to achieve revenue, profitability, and market share objectives. The role involves developing and executing territory sales strategies, managing key customer relationships, identifying new business opportunities, overseeing distributor and channel partner performance, and leading sales initiatives to drive sustainable business growth. The Territory Sales Manager ensures excellent customer service, market intelligence, and effective coordination with internal teams to support the organization's strategic objectives.     Key Responsibilities      Develop and implement territory sales strategies aligned with the...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/senior-cost-accountant-kigali-177390,177390,2026-09-10T13:03:00.962185,Rwanda,Senior Cost Accountant,Senior Cost Accountant - Kigali,DATA- ORBIT LABS,Kigali,#NAME?,"The Senior Cost Accountant is responsible for leading the organization's cost accounting function by providing accurate product costing, financial analysis, inventory valuation, and strategic cost management. The role partners closely with Operations, Procurement, Supply Chain, and Finance leadership to drive cost optimization, improve operational efficiency, and support informed business decisions.    The successful candidate will oversee costing methodologies, analyze manufacturing and operational performance, strengthen internal controls, and identify opportunities to improve profitability while ensuring compliance with accounting standards and company policies.     Key Responsibilities      Cost Accounting &...+plus","The Senior Cost Accountant is responsible for leading the organization's cost accounting function by providing accurate product costing, financial analysis, inventory valuation, and strategic cost management. The role partners closely with Operations, Procurement, Supply Chain, and Finance leadership to drive cost optimization, improve operational efficiency, and support informed business decisions.    The successful candidate will oversee costing methodologies, analyze manufacturing and operational performance, strengthen internal controls, and identify opportunities to improve profitability while ensuring compliance with accounting standards and company policies.     Key Responsibilities      Cost Accounting &...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/php-larval-debug-code-kigali-remote-177463,177463,2026-09-10T13:03:00.962336,Rwanda,PHP Larval Debug Code,PHP Larval Debug Code - Kigali (Remote),KORSTRADA ENTERPRISES LIMITED,Kigali,#NAME?,"We are looking for a PHP Laravel Developer specializing in code debugging  to join our team. In this role, you will analyze, diagnose, and resolve issues within PHP Laravel applications while ensuring their stability, reliability, and performance. We offer a flexible work environment with the opportunity to work remotely in a dynamic and innovative setting.   Responsibilities    Identify, analyze, and fix bugs in PHP Laravel applications.  Optimize existing code to improve application performance, stability, and maintainability.  Collaborate with the development team to design and implement effective solutions.  Perform testing and validation to ensure code quality and reliability.  Contribute to the continuous improvement of...+plus","We are looking for a PHP Laravel Developer specializing in code debugging  to join our team. In this role, you will analyze, diagnose, and resolve issues within PHP Laravel applications while ensuring their stability, reliability, and performance. We offer a flexible work environment with the opportunity to work remotely in a dynamic and innovative setting.   Responsibilities    Identify, analyze, and fix bugs in PHP Laravel applications.  Optimize existing code to improve application performance, stability, and maintainability.  Collaborate with the development team to design and implement effective solutions.  Perform testing and validation to ensure code quality and reliability.  Contribute to the continuous improvement of...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/gestionnaire-de-performance-et-reporting-kpi-rwanda-180211,180211,2026-09-10T13:03:00.962501,Rwanda,Gestionnaire de Performance et Reporting KPI,Gestionnaire de Performance et Reporting KPI - Rwanda,I C S TELECOM RWANDA LIMITED,Rwanda,#NAME?,"Nous recherchons un  Gestionnaire de Performance et Reporting KPI  pour rejoindre notre équipe. Ce poste implique la gestion de la performance, l'analyse des indicateurs clés et la mise en œuvre de stratégies pour améliorer la qualité, la santé et la sécurité au sein de notre département. Il nécessite de travailler dans un environnement dynamique axé sur l'innovation technologique.      Missions :    Surveiller et analyser les performances opérationnelles à l'aide d'indicateurs KPI.  Élaborer des rapports de performance précis et exploitables pour la direction.  Mettre en œuvre des stratégies d'amélioration continue en matière de qualité, santé et sécurité.  Collaborer avec les équipes techniques pour...+plus","Nous recherchons un  Gestionnaire de Performance et Reporting KPI  pour rejoindre notre équipe. Ce poste implique la gestion de la performance, l'analyse des indicateurs clés et la mise en œuvre de stratégies pour améliorer la qualité, la santé et la sécurité au sein de notre département. Il nécessite de travailler dans un environnement dynamique axé sur l'innovation technologique.      Missions :    Surveiller et analyser les performances opérationnelles à l'aide d'indicateurs KPI.  Élaborer des rapports de performance précis et exploitables pour la direction.  Mettre en œuvre des stratégies d'amélioration continue en matière de qualité, santé et sécurité.  Collaborer avec les équipes techniques pour...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/operations-manager-kigali-180235,180235,2026-09-10T13:03:00.962769,Rwanda,Operations Manager,Operations Manager - Kigali,NEIL CORPORATION LTD,Kigali,#NAME?,"We are looking for a skilled  Operations Manager  to plan, direct and coordinate all business operations for our Administrative Department.       Responsibilities:    Develop strategic decisions.  Communicate with a team of managers.  Develop and implement operational policies.  Assist the Human Resources department.   Promote a strong company culture.  Enhance operational frameworks, procedures and best practices.  Purchase materials, design stock and ensure warehouse productivity.  Contribute to the accomplishment of the company's strategic and operational objectives.  Analyse financial information and utilise them to enhance profit.  Perform quality controls and screen KPIs.  Assign tasks, manage, and carry...+plus","We are looking for a skilled  Operations Manager  to plan, direct and coordinate all business operations for our Administrative Department.       Responsibilities:    Develop strategic decisions.  Communicate with a team of managers.  Develop and implement operational policies.  Assist the Human Resources department.   Promote a strong company culture.  Enhance operational frameworks, procedures and best practices.  Purchase materials, design stock and ensure warehouse productivity.  Contribute to the accomplishment of the company's strategic and operational objectives.  Analyse financial information and utilise them to enhance profit.  Perform quality controls and screen KPIs.  Assign tasks, manage, and carry...+plus",,active
rwandajob,https://www.rwandajob.com/job-vacancies-rwanda/project-manager-kigali-180249,180249,2026-09-10T13:03:00.962922,Rwanda,Project Manager,Project Manager - Kigali,NEIL CORPORATION LTD,Kigali,#NAME?,"We are searching for an experienced  Project Manager  to manage the business of key customer projects.   As a  Project Manager  at our company, your job will be to manage people and procedures to make sure that our projects are handed-over to our clients on time and produce the anticipated results. You will be the go-to in charge of the whole thing involving a project’s organisation and timeline. You should be extremely good at handling project management responsibilities.  Your job will be to make strategies, budget allocation, supervise and document all features of the particular project you are assigned to. You will work directly with upper management to be sure that the scope of the project is followed...+plus","We are searching for an experienced  Project Manager  to manage the business of key customer projects.   As a  Project Manager  at our company, your job will be to manage people and procedures to make sure that our projects are handed-over to our clients on time and produce the anticipated results. You will be the go-to in charge of the whole thing involving a project’s organisation and timeline. You should be extremely good at handling project management responsibilities.  Your job will be to make strategies, budget allocation, supervise and document all features of the particular project you are assigned to. You will work directly with upper management to be sure that the scope of the project is followed...+plus",,active
